date,Grass1,Grass2,Grass3,Grass5,Grass,Grass7,Grass8,Grass11,Grass12,Grass13,Grass14,Grass15,Grass9,Grass10
"Jun 15, 2019",0.002,0.002,0,0.003,0.005,0.008,0.013,0.001,0.012,0.017,0.016,0.006,0.01,0.008
"Jul 15, 2019",0.001,0.005,0,0.005,0.005,0.01,0.022,0.003,0.016,0.028,0.013,0.013,0.012,0.011
"Aug 15, 2019",0.002,0.003,0,0.002,0.007,0.007,0.008,0.006,0.014,0.017,0.008,0.006,0.007,0.008
"Sep 15, 2019",0.001,0.005,0,0.004,0.012,0.008,0.001,0.006,0.011,0.014,0.007,0.004,0.007,0.006
"Oct 15, 2019",0.001,0.002,0,0.001,0.012,0.007,0.008,0.005,0.014,0.017,0.006,0.003,0.005,0.005
"Nov 15, 2019",0.001,0.003,0,0.003,0.013,0.011,0.007,0.009,0.021,0.021,0.003,0.01,0.012,0.005
"Dec 15, 2019",0,0.013,0,0.005,0.016,0.013,0.017,0.008,0.029,0.028,0.013,0.017,0.005,0.034
"Jan 15, 2020",0,0.009,0,0.001,0.006,0.006,0.007,0.006,0.026,0.015,0.004,0.011,0.008,0.006
"Feb 15, 2020",0,0.001,0,0,0.007,0.004,0.007,0.003,0.006,0.008,0.01,0.015,0.006,0.007
"Mar 15, 2020",0.001,0.002,0,0.002,0.004,0.005,0.007,0.002,0.016,0.014,0.005,0.004,0.011,0.011
"May 15, 2020",0,0.006,0,0.001,0.007,0.007,0.004,0.002,0.014,0.02,0.008,0.004,0.007,0.003
"Jun 15, 2020",0,0.003,0,0,0.005,0.005,0.006,0.002,0.01,0.021,0.008,0.003,0.007,0.006
"Jul 15, 2020",0,0.001,0,0.001,0.007,0.004,0.007,0.002,0.01,0.023,0.003,0.006,0.007,0.004
"Aug 15, 2020",0.001,0.007,0,0.002,0.009,0.005,0.004,0.002,0.013,0.024,0.002,0.003,0.004,0.003
"Sep 15, 2020",0,0.005,0,0.001,0.013,0.008,0.007,0.003,0.009,0.013,0.001,0.003,0.005,0.005
"Oct 15, 2020",0.002,0.002,0,0,0.002,0.005,0.011,0.002,0.021,0.023,0.006,0.005,0.007,0.015
"Nov 15, 2020",0.002,0.011,0,0.002,0.015,0.008,0.006,0.005,0.024,0.033,0.001,0.004,0.008,0.007
"Dec 15, 2020",0.004,0.012,0,0.001,0.014,0.016,0.01,0.01,0.038,0.031,0.006,0.01,0.014,0.05
"Mar 15, 2021",0.001,0.008,0,0.005,0.006,0.008,0.005,0.001,0.031,0.031,0.009,0.009,0.016,0.007
"Apr 15, 2021",0.003,0.005,0,0.008,0.005,0.007,0.007,0.003,0.02,0.021,0.01,0.023,0.016,0.025
"May 15, 2021",0.003,0.003,0,0.004,0.01,0.006,0.007,0.004,0.017,0.023,0.006,0.024,0.01,0.011
"Jun 15, 2021",0.001,0.006,0,0.002,0.017,0.006,0.009,0.003,0.011,0.03,0.006,0.017,0.009,0.008
"Jul 15, 2021",0.002,0.005,0,0.002,0.009,0.005,0.005,0.002,0.01,0.026,0.004,0.013,0.005,0.006
"Aug 15, 2021",0.001,0.003,0,0.002,0.012,0.006,0.008,0.004,0.015,0.024,0.005,0.016,0.005,0.005
"Sep 15, 2021",0.001,0.004,0,0.005,0.011,0.004,0.006,0.004,0.014,0.011,0.006,0.009,0.012,0.003
"Oct 15, 2021",0.003,0.011,0,0.005,0.011,0.006,0.007,0.003,0.014,0.024,0.003,0.009,0.01,0.007
"Nov 15, 2021",0.001,0.006,0,0.001,0.008,0.017,0.012,0.001,0.023,0.03,0.006,0.009,0.005,0.024
"Feb 15, 2022",0.002,0.006,0,0.001,0.004,0.013,0.008,0.003,0.035,0.025,0.007,0.004,0.014,0.004
"Mar 15, 2022",0.002,0.005,0,0.005,0.003,0.008,0.004,0.007,0.023,0.023,0.005,0.006,0.008,0.008
"Apr 15, 2022",0,0.009,0,0.002,0.002,0.009,0.002,0.005,0.024,0.024,0.01,0.008,0.007,0.011
"May 15, 2022",0.001,0.011,0,0.005,0.004,0.01,0.005,0.006,0.026,0.025,0.008,0.01,0.011,0.017
"Jun 15, 2022",0.002,0.008,0,0.003,0.007,0.005,0.008,0.006,0.016,0.012,0.007,0.009,0.013,0.017
"Jul 15, 2022",0,0.007,0,0.006,0.006,0.005,0.005,0.001,0.024,0.021,0.006,0.007,0.013,0.006
"Aug 15, 2022",0.001,0.002,0,0.006,0.006,0.004,0.005,0.004,0.017,0.021,0.005,0.008,0.014,0.004
"Sep 15, 2022",0,0.003,0,0.003,0.004,0.005,0.004,0.002,0.016,0.022,0.006,0.007,0.011,0.006
"Nov 15, 2022",0,0.002,0,0.001,0.003,0.008,0.011,0.007,0.018,0.03,0.006,0.005,0.008,0.004
"Dec 15, 2022",0.003,0.008,0,0.001,0.011,0.014,0.014,0.003,0.031,0.039,0.004,0.004,0.009,0.019
"Jan 15, 2023",0.003,0.005,0,0.009,0.019,0.008,0.01,0.01,0.022,0.018,0.008,0.008,0.025,0.005
"Mar 15, 2023",0.001,0.005,0,0.002,0.012,0.005,0.003,0.002,0.032,0.022,0.004,0.011,0.011,0.005
"Apr 15, 2023",0.001,0.009,0,0.004,0.016,0.004,0.004,0.007,0.022,0.022,0.01,0.006,0.016,0.029
"May 15, 2023",0.007,0.008,0,0.008,0.015,0.004,0.007,0.009,0.021,0.019,0.009,0.009,0.011,0.023
